,Circle,Likelihood
0,"(41.896970377, -87.631250927, 1288.160025894736)",0.0
1,"(41.878638996, -87.627691486, 798.7404070883613)",0.0
2,"(41.896970377, -87.631250927, 117.33837800881734)",0.10017917850184975
3,"(41.693309015, -87.621013915, 1327.072848399266)",0.0
4,"(41.756604794, -87.576095781, 442.1060081908709)",0.0
5,"(41.867414944, -87.627231186, 71.52424630647889)",1.2540747139479387
6,"(41.868541914, -87.639235361, 40.1974430849249)",0.9623525195559876
7,"(41.868541914, -87.639235361, 599.2357111814465)",0.0
8,"(41.962393372, -87.652340314, 609.8481243684054)",0.0
9,"(41.867414944, -87.627231186, 217.6768493210902)",0.0
10,"(41.878638996, -87.627691486, 146.18830111728496)",0.7258127549184944
11,"(41.693309015, -87.621013915, 1438.9302590384327)",0.0
12,"(41.909770708, -87.735196552, 392.2832171755626)",0.0
13,"(41.868541914, -87.639235361, 402.3008618499208)",0.0
14,"(41.896970377, -87.631250927, 332.23810053473926)",0.0
15,"(41.901581306, -87.626876922, 1318.3303540362815)",0.0
16,"(41.693309015, -87.621013915, 1717.692323183812)",0.0
17,"(41.962393372, -87.652340314, 1334.8199925282831)",0.0
18,"(41.962393372, -87.652340314, 1703.5232923653891)",0.0
19,"(41.695014818, -87.648357778, 1403.346626395997)",0.0
20,"(41.867414944, -87.627231186, 609.8481243684054)",0.0
21,"(41.756604794, -87.576095781, 798.7404070883613)",0.0
22,"(41.896970377, -87.631250927, 1298.0609147824716)",0.0
23,"(41.867414944, -87.627231186, 1109.4709643887886)",0.0
24,"(41.756604794, -87.576095781, 1334.8199925282831)",0.0
25,"(41.909770708, -87.735196552, 1403.346626395997)",0.0
26,"(41.695014818, -87.648357778, 1288.160025894736)",0.0
27,"(41.962393372, -87.652340314, 599.2357111814465)",0.0
28,"(41.695014818, -87.648357778, 1318.3303540362815)",0.0
29,"(41.878638996, -87.627691486, 1172.3527827795822)",0.0
30,"(41.693309015, -87.621013915, 442.1060081908709)",0.0
31,"(41.909770708, -87.735196552, 332.23810053473926)",0.0
32,"(41.868541914, -87.639235361, 748.0653561558813)",0.0
33,"(41.868541914, -87.639235361, 74.55113360724039)",1.1284934423574213
34,"(41.896970377, -87.631250927, 188.74085317610277)",0.006959593904677154
35,"(41.901581306, -87.626876922, 1327.072848399266)",0.0
36,"(41.756604794, -87.576095781, 729.3295231156404)",0.0
37,"(41.896970377, -87.631250927, 914.7917440453514)",0.0
38,"(41.693309015, -87.621013915, 1180.9949502417478)",0.0
39,"(41.901581306, -87.626876922, 146.18830111728496)",0.0
40,"(41.756604794, -87.576095781, 1119.7886819028788)",0.0
41,"(41.962393372, -87.652340314, 1717.692323183812)",0.0
42,"(41.868541914, -87.639235361, 182.9253220266324)",0.0
43,"(41.695014818, -87.648357778, 115.0334025885225)",0.0
44,"(41.878638996, -87.627691486, 74.55113360724039)",1.1284934423574213
45,"(41.901581306, -87.626876922, 394.5696726350758)",0.0
46,"(41.693309015, -87.621013915, 1118.4694317113529)",0.0
47,"(41.868541914, -87.639235361, 214.17606459209836)",0.0
48,"(41.901581306, -87.626876922, 338.28819092415205)",0.0
49,"(41.867414944, -87.627231186, 436.5271179240252)",0.0
50,"(41.693309015, -87.621013915, 1109.4709643887886)",0.0
51,"(41.909770708, -87.735196552, 1119.7886819028788)",0.0
52,"(41.695014818, -87.648357778, 1106.0619812701673)",0.0
53,"(41.867414944, -87.627231186, 40.1974430849249)",0.9623525195559876
54,"(41.756604794, -87.576095781, 914.7917440453514)",0.0
55,"(41.695014818, -87.648357778, 1703.5232923653891)",0.0
56,"(41.878638996, -87.627691486, 538.6773005784975)",0.0
57,"(41.867414944, -87.627231186, 729.3295231156404)",0.0
